communityname,State,pop,perHoush,pct12-21,pct12-29,pct16-24,pct65up,medIncome,pctNotHSgrad,pctCollGrad,pctUnemploy,pctAllDivorc,persHomeless,violentPerPop
Plainvilletown,CT,17392,2.45,11.73,25.53,11.76,12.44,38432,23.93,16.74,4.76,10.45,0,86.15
Portlandcity,TX,12224,2.97,17.03,27.62,12.94,5.49,37952,12.32,24.08,5.29,8.64,0,86.34
SaddleBrooktownship,NJ,13296,2.72,10.42,24.41,10.71,15.79,46082,22.79,19.2,5.56,6.68,0,86.45
Westwoodborough,NJ,10446,2.55,10.42,24.17,10.8,14.51,46866,17.02,29.15,3.65,8.15,0,86.9
Wallingfordtown,CT,40822,2.69,11.98,24.06,11.02,12.07,42783,19.84,22.48,4.45,8.94,3,87.1
Beverlycity,MA,38195,2.58,12.62,25.9,12.77,13.23,39603,12.89,27.98,5.42,9.33,0,87.26
Coventrytown,CT,10063,2.77,12.36,25.42,11.7,7.53,46426,13.47,27.36,4.23,8.2,0,87.96
Westfieldtown,NJ,28870,2.81,12.02,21.73,10.15,11.98,66760,8.81,53.58,2.99,5.66,0,88.16
FortMadisoncity,IA,11618,2.54,12.23,23.85,10.93,15.48,22098,20.68,11.47,7.52,12.29,0,88.3
Summitcity,NJ,19757,2.57,10.5,22.74,9.94,14.07,66464,10.79,53.61,3.06,6.92,0,88.69
Bridgewatertownship,NJ,32509,2.88,12.3,24.76,11.8,9.09,63533,10.96,41.3,2.64,6.03,0,88.7
Manchestertownship,NJ,35976,1.94,6.43,10.55,4.93,52.77,22649,34.37,9.9,6.7,4.62,0,89.07
Canandaiguacity,NY,10725,2.43,12.77,26.66,13.38,14.7,28428,20.35,21.69,6.87,13.39,0,89.41
Manalapantownship,NJ,26716,3.15,14.65,22.53,11.15,12.07,58028,14.18,32.08,4.36,3.64,0,89.44
Logancity,UT,32762,2.97,21.23,44.55,27.93,7.42,21312,9.64,36.83,6.84,6.17,0,89.45
Burrillvilletown,RI,16230,3.05,13.77,25.48,11.32,10.38,37156,29.43,15.85,6.21,7.39,0,89.61
PresqueIslecity,ME,10550,2.56,16.09,29.7,15.66,11.9,23053,24.36,16.1,6.26,10.13,2,89.62
Enfieldtown,CT,45532,2.85,11.86,27.51,12.36,9.76,44635,21.62,17.59,4.01,8.38,1,89.94
WestJordancity,UT,42892,3.85,18.98,30.52,12.43,2.57,33273,13.65,15.91,3.67,8.66,0,90.01
Independencecity,KY,10444,3.02,15.65,29.33,13.36,5.97,35951,23.12,13.14,3.74,9.45,0,90.65
MenomoneeFallsvillage,WI,26840,2.73,11.75,23.65,10.87,10.39,42315,15.08,19.94,3.27,6.59,0,90.66
Plymouthtown,CT,11822,2.73,13.34,25.53,12.05,11.99,41325,25.33,13.76,3.73,8.3,0,90.74
Hudsontown,NH,19530,2.95,13.76,28.51,12.74,5.8,47859,14.96,24.8,6.71,8.33,0,91.21
Johnstontown,RI,26542,2.66,11.37,24.09,11.63,15.5,32596,33.24,13.49,5.1,8.75,0,91.31
Windhamtown,ME,13020,2.88,13.97,27.62,13.2,8.96,37245,15.41,19.78,4.35,10.87,1,91.37
Amescity,IA,47198,3.02,31.04,54.33,42.28,5.91,24636,4.86,54.14,4.29,4.76,0,91.93
Hanovertownship,NJ,11538,3.04,13.43,23.75,12.47,12.71,60688,15.65,34.53,2.97,5,0,92.04
Pennsvilletownship,NJ,13794,2.6,14.73,25.36,12.61,12.44,38025,23.91,9.87,3.62,9.67,0,92.08
Paragouldcity,AR,18540,2.49,14.13,25.52,12.37,15.18,19985,39.87,11.26,7.01,12.75,0,92.91
CedarCitycity,UT,13443,3.31,23.63,38.06,23.28,7.8,23415,11.25,26.79,5.83,6.59,0,93.16
Newtoncity,IA,14789,2.37,12.71,23.52,10.64,15.39,28381,21.01,15.64,4,9.84,0,93.44
SouthKingstowntown,RI,24631,3.32,29.19,39.37,29.24,10.09,36481,14.46,38.97,5.25,6.7,0,93.7
Viennatown,VA,14852,2.8,11.38,23.72,11.04,9.57,61271,10.16,45.16,2.5,8.51,0,94.07
Westfordtown,MA,16392,3.08,14.11,23.77,11.67,6.55,60566,9.51,39.26,5.41,5.82,0,94.15
BrighamCitycity,UT,15644,3.17,16.53,26.22,11.04,9.98,33784,15.92,22.23,7.05,7.79,0,94.16
Beavercreekcity,OH,33626,2.88,14.91,23.52,11.5,8.14,49143,11.01,37.21,3.13,5.81,0,94.97
Betheltown,CT,17541,2.84,13.56,25.07,11.38,8.04,53761,13.56,32.18,5.14,8.13,0,95.47
EastWindsortownship,NJ,22353,2.61,13.28,27.07,12.28,6.37,49849,9.24,45.34,3.37,9.55,0,95.76
PointPleasantborough,NJ,18177,2.59,12.03,23.51,11.37,14.86,40798,18.86,20.15,4.48,8.84,0,96.47
RockyHilltown,CT,16554,2.52,9.3,25.68,10.93,13.14,48125,14.72,31.9,2.38,11.23,0,96.55
LowerAllentownship,PA,15254,2.6,10.9,25.2,11.95,16.15,37461,16.98,24,2.17,10.35,0,96.69
Somersettown,MA,17655,2.75,13.65,23.26,12.34,16.04,36418,30.13,21.2,6.26,5.96,0,96.73
Morristownship,NJ,19952,2.81,12.08,22.54,11.74,11.82,74124,9.03,53.11,2.75,6.55,0,96.77
Swampscotttown,MA,13650,2.59,11.08,21.29,10.55,16.26,50191,8.37,43.78,4.36,6.45,0,96.85
Conneautcity,OH,13241,2.6,14.42,25.16,12.14,15.78,21144,27.14,6.4,10.91,10.34,0,97.97
LincolnParkborough,NJ,10978,2.84,10.04,25.22,10.13,10.67,53781,17.16,30.15,3.8,9.2,0,98.73
Stowcity,OH,27702,2.75,13.07,24.99,11.28,8.35,39638,14.05,30.43,3.14,8.75,0,98.95
Monroetown,CT,16896,3.11,14.03,24.16,11.82,7.42,59967,10.87,36.09,4.25,5.53,0,99.13
Holmdeltownship,NJ,11532,3.42,16.48,23.75,12.43,7.35,83975,12.06,46.78,2.67,3.92,0,99.47
Dovercity,NH,25042,2.42,13.15,32.63,17.37,11.32,31507,16.87,24.34,5.66,10.48,0,99.77
PalosVerdesEstatescity,CA,13512,2.73,13.06,18.79,9.98,13.7,101320,3.98,62.81,3.56,5.34,0,99.9
OakHarborcity,WA,17176,2.88,13.62,33.81,14.94,6.45,25556,12.44,17.41,5.35,8.52,1,99.93
Penntownship,PA,15945,2.91,14.04,22.68,10.94,11.43,33219,17.69,21.02,5.87,4.98,0,101.21
NorthHuntingdontownship,PA,28158,2.76,13.69,23.25,11.6,13.24,32066,17.09,16.15,6.27,5.92,0,101.26
Salemcity,VA,23756,2.59,15.34,26.17,14.72,14.86,29047,23.91,17.85,2.39,11.55,4,102.2
Barnegattownship,NJ,12235,2.94,14.66,24.59,10.53,12.81,36469,20.83,12.38,5.46,7.78,0,103.18
WestWindsortownship,NJ,16021,2.99,13.83,23.64,10.55,5.2,76907,6,65.87,2.85,4.41,0,103.24
MountLaureltownship,NJ,30270,2.56,10.94,25.55,10.35,9.28,50843,10.1,37.11,2.55,9.21,0,103.28
MercerIslandcity,WA,20816,2.6,12.16,19.04,9.14,13.11,61572,3.24,60.32,3.24,8.68,0,103.33
RiverFallscity,WI,10610,3.1,28.03,46.96,34.52,7.05,30535,12.51,30.51,6.32,6.96,0,103.33
Cranfordtownship,NJ,22633,2.77,11.05,22.35,10.37,14.01,54469,12.62,33.75,2.57,6.24,0,103.35
PleasantGrovecity,UT,13476,3.89,20.33,29.74,13.1,6.5,31633,13.93,20.49,5.59,6.36,0,103.43
Andovertown,MA,29151,2.8,13.83,23.24,11.5,9.68,61070,8.78,52.49,4.05,6.24,0,103.65
Roxburytownship,NJ,20429,3.14,14.88,25.19,12.32,7.46,57484,13.81,29.98,3.25,6.07,0,103.96
Minotcity,ND,34544,2.47,15.63,29.41,15.2,12.29,23727,18.45,21.06,5.63,9.2,0,104.17
Tredyffrintownship,PA,28028,2.45,10.81,23.42,10.73,11,61144,5.15,58.87,2.32,8.45,0,105.23
VanBurencity,AR,14979,2.79,15.39,28.26,12.88,10.78,21105,35.44,9.96,7.38,13.01,6,105.23
Watertowncity,WI,12388,2.8,15.46,29.25,15.68,12.48,26873,28.61,14.12,3.9,8.89,0,105.5
Northfieldcity,MN,14514,3.58,35.82,47.34,38.29,7.68,30613,15.48,35.68,3.05,5.59,0,105.6
LosAltoscity,CA,26303,2.67,10.57,16.52,7.79,16.87,79579,4.3,59.59,2.87,7.25,0,105.84
Englewoodcity,OH,11432,2.54,13.65,24.2,11.92,12.62,37087,15.77,18.98,3.15,9.48,0,105.96
Brooklyncity,OH,11706,2.27,10.63,22.91,11.14,21.31,26818,29.39,7.91,4.01,9.28,0,106.04
Middletowntownship,PA,43063,2.97,12.69,24.19,11.32,9.11,46756,15.07,26.08,3.53,7.81,0,106.23
CedarHillcity,TX,19976,3.04,13.53,27.46,10.76,3.94,41457,13.87,28.24,3.61,9.55,0,106.42
Clarktownship,NJ,14629,2.65,10.49,21.98,11.07,18.35,50095,19.18,23.56,4.08,5.6,0,106.6
Berkeleytownship,NJ,37319,2.12,6.03,11.33,5.33,48.23,23028,38.7,6.95,7.32,4.41,0,106.68
Chesterfieldcity,MO,37991,2.9,14.99,23.36,11.37,7.82,66930,7.08,53.72,2.27,5.83,0,106.93
NorthCantoncity,OH,14748,2.34,10.77,21.98,10.06,16.73,32369,12.34,29.85,4.13,9.73,0,106.96
Readingtown,MA,22539,2.84,12.77,24.31,11.93,11.36,52783,8.1,36.72,5.21,6.07,0,106.98
Hamptontownship,PA,15568,2.9,12.83,21.98,9.61,9.69,45538,13,35.58,3.23,5.64,0,107.37
Greenvillecity,OH,12863,2.45,12.02,22.51,10.49,18.46,23044,27.71,11.15,7.03,12.42,0,108.07
SpanishForkcity,UT,11272,3.46,18.12,29.7,13.6,8.67,29023,14.94,12.98,6.41,6.65,0,108.49
SouthWindsortown,CT,22090,2.81,12.02,23.56,10.56,7.13,57606,11.63,31.93,2.31,7.43,0,108.52
Durhamtown,NH,11818,4.94,54.4,65.98,59.68,5.31,42477,2.64,66.55,7.83,2.9,0,108.87
Springfieldtownship,NJ,13420,2.32,8.55,18.94,8.53,21.31,48647,15.47,35.28,3.55,6.99,0,109.84
OilCitycity,PA,11949,2.45,12.7,23.62,10.89,15.82,20411,23.1,14.09,7.84,11.83,0,109.9
Scarboroughtown,ME,12518,2.64,12.53,24.13,10.92,9.51,40718,11.9,28.96,4.54,9.55,0,110.86
Manitowoccity,WI,32520,2.47,11.81,23.19,10.69,17.02,24202,25.55,14.48,5.79,8.74,0,110.97
SierraVistacity,AZ,32983,2.83,15.84,32.56,16.38,6.77,29590,9.86,23.83,5.47,10.09,0,111.07
Sylvaniatownship,OH,39983,2.77,13.98,22.49,10.62,10.12,47335,11,36.01,4.07,7.89,0,111.56
Lakewoodcity,OH,59718,2.21,12.01,28.23,12.08,11.81,28791,15.86,29,4.87,13.07,1,111.67
Irvinecity,CA,110330,2.74,16.76,30.88,16.61,5.28,56307,4.88,52.85,3.32,10.84,0,111.68
PalisadesParkborough,NJ,14536,2.52,10.31,26.17,11.67,12.69,36019,22.03,26.55,5.45,8.11,0,111.83
Blacksburgtown,VA,34590,3.1,42.76,66.39,55.44,3.88,18592,8.25,61.57,6.88,4.14,0,112.41
Worthingtoncity,OH,14869,2.67,13.71,20.33,9.48,12.38,49851,5.95,54.76,2.57,8.64,0,112.5
Sharontown,MA,15517,2.96,12.35,19.86,9.61,8.8,61692,6.31,51.19,4.59,5.14,0,112.63
Pequannocktownship,NJ,12844,3,13.53,25.11,12.96,11.06,54935,14.61,28.81,3.62,5.42,0,112.75
Christiansburgtown,VA,15004,2.5,13.56,27.06,12.94,10.69,26171,31.37,17.22,4.01,12.22,0,112.94
SouthWhitehalltownship,PA,18261,2.8,10.4,17.59,8.13,17.06,43968,20.14,31.88,2.65,6.21,0,113.07
NewBerlincity,WI,33592,2.87,13.15,23.28,10.64,7.87,49394,9.69,28.66,2.54,5.74,0,113.19
Maryvillecity,MO,10663,3.01,34.92,50.03,40.69,10.67,17829,16.7,26.61,5.63,6.03,0,113.2
Hazletoncity,PA,24730,2.34,11.5,22.54,11.15,21.77,20927,28.34,10.31,6.05,8.93,0,113.34
Vandaliacity,OH,13882,2.43,12.33,26.28,12.32,10.34,34835,19.58,16.17,4.39,12.37,0,113.81
Juneaucity,AK,26751,2.7,12.55,24.66,10.53,4.73,47924,10.14,30.71,4.75,14.4,0,114.21
Medfordtownship,NJ,20526,3,15.71,24.16,12.75,7.98,59834,9.61,40.97,4.36,6.45,0,114.23
Centervillecity,OH,21082,2.53,12.15,23.61,11.16,12.52,45424,7.79,40.27,2.44,8.2,0,114.49
ScotchPlainstownship,NJ,21160,2.79,11.38,23.62,10.91,12.65,58194,12.02,41.42,3.75,6.47,0,115.14
Vernontownship,NJ,21211,3.15,14.15,25.13,10.33,5.24,50987,10.12,22.91,4.96,6.42,0,115.14
Fargocity,ND,74111,2.46,16.64,35.16,20.33,8.58,25326,11.27,30.24,4.18,8.64,15,115.31
Bristoltown,RI,21625,2.9,17.15,29.94,17.41,14.68,34165,34.96,19.66,7.24,7.15,0,116.1
Oneidacity,NY,10850,2.55,13.45,26.4,12.57,14.2,24929,23.74,15.61,4.31,11.45,0,116.21
Millburntownship,NJ,18630,2.7,11.8,20.64,9.94,15.09,83275,7.27,60.94,2.25,5.1,0,116.35
Bentonvillecity,AR,11257,2.64,14.09,26.45,12.36,12.63,24604,23.53,12.43,3.63,12.21,0,116.97
Plainfieldtown,CT,14363,2.87,15.39,29.53,13.51,9.21,34588,31.09,7.3,7.86,9.88,0,117.03
Readingcity,OH,12038,2.47,11.26,27.27,12.93,12.86,29647,27.44,14.56,4.9,12.39,0,118.6
Pottsvillecity,PA,16603,2.46,12.56,24.29,11.99,17.79,21135,30.52,12.13,7.2,10.15,1,120.26
GrandForkscity,ND,49425,2.67,20.6,38.87,24.1,7.87,25456,14.24,29.28,5.08,8.28,0,121.02
Westporttown,CT,24410,2.63,11.25,19.84,9.77,12.35,81957,6.95,60.51,3.17,8.95,1,121.07
Marinettecity,WI,11843,2.45,12.77,24.08,11.09,15.82,21321,24.37,12.18,7.55,10.19,0,121.32
NewCastlecity,IN,17753,2.44,14.18,26.25,12.61,14.72,19343,36.54,7.94,11.23,14.85,0,121.81
Troycity,OH,19478,2.55,12.75,25.3,11.55,12.42,29032,23.52,16.92,4.52,11.97,0,121.99
SouthBurlingtoncity,VT,12809,2.47,13.1,28.19,13.42,9.63,42358,8.97,39.12,2.46,11.27,2,122.28
Clintoncity,MS,21847,2.92,17.83,30.86,16.52,7.45,36770,13.22,38.29,3.37,9.11,0,122.69
SouthMilwaukeecity,WI,20958,2.55,12.23,25.94,11.65,13.44,31998,20.6,14.81,4.6,9.67,0,122.74
ElmwoodParkborough,NJ,17623,2.61,11.11,23.94,11.61,18.06,38248,32.3,15,5.05,7.63,0,122.88
GroveCitycity,OH,19661,2.66,14.55,27.07,13.04,9.32,34350,18.75,14.95,3.23,11.76,0,122.9
Westervillecity,OH,29092,2.96,18.26,26.64,14.01,7.07,48137,8.46,40.16,2.55,8.08,0,122.91
Westontown,MA,10200,3.04,16.57,24.53,14.69,12.67,95134,3.42,68.19,3.62,4.98,0,122.95
Carmelcity,IN,25380,2.79,14.01,22.8,10.53,7.57,54505,4.96,51.3,2.27,7.49,0,123.07
Fairborncity,OH,31300,2.47,17.29,34.3,19.36,8.63,27558,22.23,20.97,6.4,11.85,0,123.1
WestManchestertownship,PA,14369,2.47,11.45,22.27,10.81,15.95,32124,24.42,14.7,3.26,7.62,0,123.17
Daphnecity,AL,11290,2.56,12.55,24.93,10.58,9.67,38017,11.47,35.25,4.13,10.84,0,123.33
Pinevillecity,LA,12251,2.68,17.36,31.23,16.97,12.57,20321,27.71,19.28,7.9,13.77,0,124.1
CliffsideParkborough,NJ,20393,2.32,9.66,24.38,10.7,17.04,40600,24.95,26.37,5.86,8.39,2,124.14
Crestwoodcity,MO,11234,2.49,10.05,19.89,9.15,17.44,40926,16.67,29.34,4.23,7.41,0,124.32
WebsterGrovescity,MO,22987,2.57,11.42,20.06,8.51,15.25,41489,10.51,46.79,3.7,7.73,0,124.69
Coventrytown,RI,31083,2.78,13.45,24.46,11.2,11.74,37230,25.57,14.17,5.7,9.02,0,125.06
Waynetownship,NJ,47025,2.98,14.01,25.19,13.66,11.48,59290,14.66,35.8,3.91,5.81,0,125.54
Amherstcity,OH,10332,2.74,14.15,23.31,11.73,13.43,37695,20.82,16.28,4.96,7.56,0,125.57
Boonecity,IA,12392,2.44,12.48,23.43,10.63,15.82,24296,17.27,14.91,3.73,10.69,0,125.63
Ephrataborough,PA,12133,2.48,12.59,27.59,12.87,13.06,30907,29.71,12.8,2.28,10.17,0,125.67
Manheimtownship,PA,28880,2.71,11.14,19.25,9.09,17.05,41450,17.21,32.56,2.34,6.78,0,125.96
ForestGrovecity,OR,13559,2.74,16.64,30.23,16.91,12.14,24162,24.3,20.43,6.16,11.06,0,126.61
Marpletownship,PA,23123,2.82,11.01,21.3,10.48,17.18,47917,13.72,29.89,2.43,5.42,0,127.56
WestBendcity,WI,23916,2.75,13.83,27.68,12.85,10.66,34337,19.66,16.54,3.43,8.48,0,127.57
Herndontown,VA,16139,2.96,13.34,30.13,12.97,2.87,53840,12.22,37.87,2.42,10.28,0,127.65
Marbleheadtown,MA,19971,2.43,9.93,20.16,9.1,13.07,53333,4.38,53.71,3.37,9.15,0,127.67
Centervillecity,UT,11500,3.81,20.27,28.35,12.17,4.57,42032,5.85,32.44,5.32,6.01,0,127.76
OakCreekcity,WI,19513,2.76,13.71,27.38,12.38,7.57,39995,18.88,15.89,3.79,8.1,0,128.51
Rutherfordborough,NJ,17790,2.66,13.83,26.56,14.04,14.38,46499,16.92,32.44,4.17,7.38,0,129.13
CedarFallscity,IA,34298,2.93,26.12,39.76,29.32,9.39,28003,11.5,31.37,5.08,6.4,0,129.17
Jamestowncity,ND,15571,2.51,14.14,25.06,12.73,14.53,22146,24.31,19.23,3.94,9.93,1,129.56
LeagueCitycity,TX,30159,2.85,13.74,27.49,11.16,4.23,45043,10.8,32.3,3.09,10.54,2,129.64
Wickliffecity,OH,14558,2.63,11.97,24.21,11.35,16.07,32964,23.47,11.79,4.41,8.76,0,130.01
Kingstonborough,PA,14507,2.32,11,21,9.89,21.69,25482,20.25,23.29,4.06,8.61,0,130.17
Hopatcongborough,NJ,15586,2.92,13.32,27.3,11.77,5.81,48203,13.67,20.54,4.55,7.26,0,130.22
Oneontacity,NY,13954,3.19,40.03,53.37,45.54,10.44,20628,20.13,30.81,5.3,6.63,0,130.44
Gatesvillecity,TX,11492,4.51,12.8,38.56,19.29,10.33,19836,39.3,7.01,8.83,19.1,0,131.14
Bricktownship,NJ,66473,2.66,12.06,23.58,10.75,15.97,38742,20.23,16.51,5.55,7.69,0,131.47
Waterfordtownship,NJ,10940,3.17,14.49,26.63,11.48,6.48,43673,20.26,15.33,3.36,8.37,0,131.59
Sandycity,UT,75058,3.86,19.8,28.26,11.74,3.14,43971,6.93,29.42,3.56,6.38,0,131.68
Manvilleborough,NJ,10567,2.57,10.42,24.9,11.1,15.33,37664,27.73,9.28,4.13,8.98,0,132.87
Yukoncity,OK,20935,2.87,15.61,26.01,11.09,6.58,35090,15.49,19.5,4.96,10.45,0,132.89
Cantontown,MA,18530,2.81,13.3,26.38,13.29,12.47,53492,9.89,32.68,5,6.19,0,133.14
Nederlandcity,TX,16192,2.61,13.59,25.01,11.43,10.2,33253,15.74,13.87,3.85,10.59,0,133.38
Hanoverborough,PA,14399,2.28,10.84,24.3,11.85,18.96,24947,34.12,11.63,3.35,11.06,0,133.68
Miamitownship,OH,28199,2.95,14.67,25.42,11.7,7,42530,17.05,24.7,3.02,8.12,0,133.87
Sheridancity,WY,13900,2.37,13.69,22.59,10.5,14.95,23819,20.22,16.97,5.82,14.13,0,134.03
Ketteringcity,OH,60569,2.32,10.72,23.89,10.91,15.44,34506,13.22,28.58,3.09,10.69,0,134.19
Cromwelltown,CT,12286,2.53,9.88,23.03,9.43,13.23,46970,13.97,31.53,3.09,9.32,0,134.26
Carthagecity,MO,10747,2.5,12.33,23.34,10.78,18.3,20196,30.57,12.3,5.41,11.45,0,134.43
Masoncity,OH,11452,2.75,12.5,25.72,10.99,8.02,39738,16.17,20.29,2.84,9.86,0,134.91
UniversityParkcity,TX,22259,2.63,21.66,33.99,22.18,9.72,53614,2.52,72.9,2.81,8.23,0,135.76
Rutlandcity,VT,18230,2.42,11.72,25.35,12.55,15.23,25434,22.35,19.22,6.24,12.8,2,136.06
Concordcity,NH,36006,2.53,12.03,27.37,12.69,11.9,32733,15.5,28.13,6.21,13.51,2,136.28
LakeOswegocity,OR,30576,2.45,12.3,21.09,9.27,9.99,51499,3.44,53.93,3.01,11.85,1,136.4
Milfordtown,CT,49938,2.65,11.88,24.75,11.72,12.78,44142,18.1,23.39,5.5,9.4,0,136.48
Bountifulcity,UT,36659,3.29,18.53,28.77,13.84,9.77,38346,8.4,30.51,3.62,6.95,0,137.16
WindsorLockstown,CT,12358,2.6,11.1,26.02,11.95,13.3,43593,22.67,16.3,4.62,9.62,6,137.42
Piedmontcity,CA,10602,2.82,11.32,16.79,8.1,13.07,84498,3.55,71.2,1.61,7.64,0,137.47
Berlincity,NH,11824,2.39,12.41,23.46,11.25,17.59,25040,35.53,7.13,8.72,8.64,0,137.59
Fallstownship,PA,34997,2.79,13.23,26.68,12,10.25,40287,17.56,14.36,4.5,9.56,0,137.66
Whitewatercity,WI,10170,3.05,39.15,60.14,52.32,7.42,19635,17.41,36.12,4.36,4.28,0,137.89
Alabastercity,AL,14732,2.99,13.87,27.21,11.67,6.64,39261,22.15,24.38,2.83,8.39,0,137.94
Daviscity,CA,46209,2.58,25.63,47.53,34.09,5.54,29044,5.02,63.78,5.43,8.14,0,138.1
SierraMadrecity,CA,10762,2.32,8.79,20.17,8.56,13.45,46502,8.03,39.91,2.43,13.05,0,138.54
Waukeshacity,WI,56958,2.68,14.7,30.02,14.24,8.45,36192,14.86,25.3,3.09,10.66,0,138.56
Orangetown,CT,12830,2.9,12.23,20.42,10,15.19,62021,11.01,43.07,3.18,4.6,0,138.57
Eastontown,MA,19807,3.08,18.64,30.08,17.91,7.33,50647,9.74,32.25,4.71,6.73,0,138.91
Emmausborough,PA,11157,2.39,10.72,22.81,11,17.5,33410,23.81,18.82,4.85,8.25,0,139.73
Portsmouthtown,RI,16857,2.67,12.6,22.9,10.72,11.12,42474,13.7,34.67,5.48,8.04,0,139.76
ParadiseValleytown,AZ,11671,2.7,13.63,18.7,10.04,13.47,110550,4.27,58.51,3.36,6.42,0,140.18
Vincennescity,IN,19859,2.64,24.44,35.14,24.54,14.11,18829,28.08,13.26,8.73,11.17,0,140.25
Romecity,NY,44350,2.82,13.83,31.07,15.22,12.24,24234,25.67,15.43,5.86,10.18,0,140.42
UpperArlingtoncity,OH,34128,2.45,10.98,18.07,8.41,16.65,53140,4.29,59.18,1.87,7.3,0,140.72
TheColonycity,TX,22113,3.27,13.48,27.89,9.82,1.74,42743,10.07,21.46,4.49,8.47,0,140.88
Bedfordtown,MA,12996,2.9,11.06,24.36,11.87,11.73,57561,7.1,42.82,2.78,7.68,0,141.03
OldBridgetownship,NJ,56475,2.83,12.59,26.78,12.12,8.07,47482,16.79,24.22,4.49,7.65,0,141.06
SouthBrunswicktownship,NJ,25792,2.74,10.69,25.06,10.15,6.07,54305,10.22,40.03,3.5,8.25,0,141.42
Middlesexborough,NJ,13055,2.76,11.82,24.73,11.38,12.93,47643,21.56,20.04,3.79,7.85,0,141.44
BrownDeervillage,WI,12236,2.53,11.41,23.47,10.65,11.92,44495,13.33,30.66,1.79,8.2,0,141.75
Keizercity,OR,21884,2.63,13.19,23.6,10.98,12.42,31063,18.15,17.47,5.55,13.14,2,142.09
OrmondBeachcity,FL,29721,2.34,10.52,18.8,9.27,22.59,32704,15.77,26.17,4.21,10.31,0,142.7
WestDeptfordtownship,NJ,19380,2.62,13.11,28.55,13.05,9.4,38410,20.42,18.2,3.88,10.44,0,142.71
Hilliardcity,OH,11796,2.81,13.17,27.54,11.07,6.82,36415,18.87,21.44,4.05,9.8,0,142.9
Ipswichtown,MA,11873,2.54,10.7,21.6,9.62,13.15,42386,13.23,33.6,6.32,9.31,0,143.18
Redmondcity,WA,35800,2.53,12.89,28.06,12.42,6.05,42299,5.98,40.94,2.85,13.18,0,143.51
Edisontownship,NJ,88680,2.79,11.41,26.53,11.97,9.78,50075,15.51,33.82,4.46,7.29,0,143.94
YorbaLindacity,CA,52422,3.13,14.64,24.72,11.74,4.73,67892,7.07,36.98,2.72,7.98,0,144
EauClairecity,WI,55180,2.68,21.3,36.28,24.12,11.34,24535,15.1,23.87,5.91,8.24,4,144.2
Needhamtown,MA,27557,2.71,11.13,20.91,10.05,14.33,60357,5.58,53.74,4.35,5.74,0,144.44
Pleasantoncity,CA,50553,2.73,14.08,26.43,12.45,4.85,59458,7,37.16,3.06,10.53,1,144.9
Ashlandcity,OR,16234,2.37,19,30.06,19.08,12.62,23579,9.95,42.71,6.19,14.49,2,144.9
Lebanoncity,NH,12183,2.36,11.29,26.87,12.2,11.28,32221,17.61,26.78,3.14,11.94,0,145.2
Owassocity,OK,11151,2.86,13.58,26.61,11.16,6.91,33000,15.96,14.57,3.92,9.53,0,145.47
Sheboygancity,WI,49676,2.52,12.53,25.65,11.6,14.9,27647,24.6,13.24,5.25,9.31,0,145.74
Grovescity,TX,16513,2.64,12.8,23.62,10.68,14.22,31053,19.02,12.46,4.93,9.62,0,145.76
RoselleParkborough,NJ,12805,2.53,11.64,27.15,12.11,13.45,43365,21.14,22.81,5.37,8.23,0,146.46
WestDesMoinescity,IA,31702,2.44,11.75,27.99,12.43,9.22,41045,5.25,41.83,2.84,9.79,0,147
EastLampetertownship,PA,11999,2.6,12.03,25.44,12.08,13.02,34720,27.54,18.99,2.34,8.51,0,147.49
MountPleasanttown,SC,30108,2.55,11.3,27.15,11.18,8.31,38605,9.74,41.75,1.97,10.41,0,147.79
CreveCoeurcity,MO,12304,2.41,11.22,23.46,11.43,15.43,59913,7.57,55.89,1.79,7.05,0,147.83
Dunmoreborough,PA,15403,2.57,13.39,24.77,13.52,21.03,25927,25.96,18.84,4.21,6.89,0,148.02
Parsippany-TroyHillstownship,NJ,48478,2.64,11.54,28.31,12.77,8.18,50475,14.32,33.68,3.11,8.44,0,148.57
Benbrookcity,TX,19564,2.49,11.41,25.94,11.05,8.67,45303,8.47,35.22,3.59,9.82,0,149.6
Nanticokecity,PA,12267,2.35,12.11,22.6,12.06,22.02,18974,38.75,9.62,7.49,7.98,0,149.98
Mexicocity,MO,11290,2.46,12.46,22.35,10.15,19.43,23744,30.01,13.93,4.48,10.57,0,150.04
Leesburgtown,VA,16202,2.55,11.73,30.19,13.04,6.73,39887,17.31,28.55,2.11,12.8,0,150.18
Boonetown,NC,12915,3.19,50.8,70.51,63.62,6.14,13109,21.37,43.42,7.7,4.27,0,150.31
EastProvidencecity,RI,50380,2.53,11.71,24.59,11.59,16.6,31007,33.08,15.97,5.57,9.67,0,150.88
Logantownship,PA,12381,2.77,16.7,25.53,14.13,13.38,25500,22.95,9.99,6.24,8.07,0,150.9
Hudsontown,MA,17233,2.71,12.47,27.19,12.51,9.72,45191,22.95,23.16,5.46,7.89,0,151.13
Marshfieldcity,WI,18859,2.48,12.87,26.19,12.07,14.1,26771,23.13,19.83,4.82,8.03,0,151.58
Harrisonburgcity,VA,30707,2.98,32.51,49.78,38.78,9.14,25312,23.15,28.68,4.6,8.14,0,151.78
Bergenfieldborough,NJ,24458,2.78,11.33,24.06,11.22,14.09,45713,17.66,23.77,5.04,7.04,0,151.91
